model_name,description,family,imbalance_strategy,estimator_name,is_supervised,train_average_precision,train_roc_auc,validation_average_precision,validation_roc_auc,validation_f2,validation_recall,validation_precision,test_average_precision,test_roc_auc,test_f2,test_recall,test_precision,strict_queue_precision,strict_queue_recall,aggressive_queue_precision,aggressive_queue_recall,average_precision_gap,roc_auc_gap,selection_score,tuned,tuning_best_score
random_forest,Random forest with class-balanced bootstrapping.,tree_ensemble,class_weight,RandomForestClassifier,True,0.9786454451579536,0.9999587183345642,0.7410287722653307,0.9735415846319465,0.7831325301204819,0.75,0.9512195121951219,0.8124445877454498,0.9800751196817081,0.7851239669421487,0.76,0.9047619047619048,1.0,0.4533333333333333,0.4732824427480916,0.8266666666666667,0.2376166728926229,0.026417133702617668,0.7831325301204819,True,0.8273038213356373
smote_random_forest,SMOTE + random forest challenger to compare synthetic oversampling with weighted trees.,tree_ensemble,smote,RandomForestClassifier,True,0.9855747124838554,0.9999690500465266,0.7449835818591783,0.9685865467002184,0.7738095238095238,0.75,0.8863636363636364,0.8047656742477076,0.9809695243787392,0.7945205479452054,0.7733333333333333,0.8923076923076924,1.0,0.4666666666666667,0.6555555555555556,0.7866666666666666,0.24059113062467707,0.03138250334630821,0.7738095238095238,False,
balanced_random_forest,Balanced random forest that rebalances each tree during fitting.,tree_ensemble,balanced_bootstrap,BalancedRandomForestClassifier,True,0.9057377713407584,0.9990609513021685,0.7438503491325988,0.9725850527529022,0.7604562737642586,0.7692307692307693,0.7272727272727273,0.8040292281415071,0.9863615002841891,0.7640750670241288,0.76,0.7808219178082192,1.0,0.38666666666666666,0.4728682170542636,0.8133333333333334,0.16188742220815955,0.026475898549266352,0.7604562737642586,True,0.7782838418547623
weighted_logistic_regression,Weighted logistic regression baseline with standardized features.,linear_model,class_weight,LogisticRegression,True,0.7434498308148586,0.988806418432979,0.7761750068607778,0.9777014843143981,0.7569721115537847,0.7307692307692307,0.8837209302325582,0.7498342049645169,0.984954031676833,0.7320441988950277,0.7066666666666667,0.8548387096774194,0.9736842105263158,0.49333333333333335,0.47619047619047616,0.8,-0.03272517604591918,0.011104934118580934,0.7569721115537847,True,0.7285993951461878
smote_logistic_regression,SMOTE + logistic regression benchmark implemented as an imbalanced-learn pipeline.,linear_model,smote,LogisticRegression,True,0.7486718863845055,0.9871430655198467,0.7773200910464626,0.9806695216157615,0.7509881422924901,0.7307692307692307,0.8444444444444444,0.7986434570534816,0.9776319135596301,0.7692307692307692,0.7466666666666667,0.875,1.0,0.4533333333333333,0.5555555555555556,0.8,-0.028648204661957055,0.006473543904085166,0.7509881422924901,True,0.7600372954750587
nearmiss_logistic_regression,NearMiss + logistic regression teaching baseline; operationally weaker but useful for comparison.,linear_model,nearmiss,LogisticRegression,True,0.07345684340504276,0.9627857458219633,0.025274190524742855,0.9482171496363996,0.13033175355450238,0.6346153846153846,0.031190926275992438,0.04604005269479397,0.9560286181377116,0.19723865877712032,0.5333333333333333,0.056022408963585436,0.0,0.0,0.0,0.0,0.0481826528802999,0.01456859618556372,0.13033175355450238,False,
